predecessor,successor,level,reason
Кукурудза,Кукурудза,caution,Монокультура — ризик діабротики
Кукурудза,Соняшник,good,Відмінний попередник
Кукурудза,Пшениця озима,good,Класична ротація
Кукурудза,Соя,good,Ідеальна пара
Кукурудза,Ячмінь,good,Добрий попередник
Кукурудза,Ріпак озимий,good,Допустимо
Кукурудза,Цукрові буряки,good,Добрий попередник
Кукурудза,Горох,good,Допустимо
Соняшник,Кукурудза,good,Допустимо
Соняшник,Соняшник,forbidden,Мінімум 7 років ротації!
Соняшник,Пшениця озима,caution,"Висушує ґрунт, пізно звільняє поле"
Соняшник,Соя,caution,Спільний патоген Sclerotinia
Соняшник,Ячмінь,good,Допустимо для ярого ячменю
Соняшник,Ріпак озимий,forbidden,"Sclerotinia, пізнє звільнення"
Соняшник,Цукрові буряки,forbidden,"Спільні патогени, висушення"
Соняшник,Горох,caution,Sclerotinia
Пшениця озима,Кукурудза,good,Класична ротація
Пшениця озима,Соняшник,good,Відмінний попередник
Пшениця озима,Пшениця озима,forbidden,"Офіобольоз, церкоспорельоз"
Пшениця озима,Соя,good,Добрий попередник
Пшениця озима,Ячмінь,caution,Зернові після зернових — ризик
Пшениця озима,Ріпак озимий,good,Ідеальний попередник для ріпаку
Пшениця озима,Цукрові буряки,good,Класична ротація
Пшениця озима,Горох,good,Добрий попередник
Соя,Кукурудза,good,Ідеальна ротація + N-кредит 40 кг
Соя,Соняшник,caution,Sclerotinia
Соя,Пшениця озима,good,Рано звільняє поле
Соя,Соя,forbidden,"SCN, SDS — не повторювати"
Соя,Ячмінь,good,Допустимо
Соя,Ріпак озимий,caution,"Sclerotinia, пізнє звільнення"
Соя,Цукрові буряки,caution,Нематоди
Соя,Горох,forbidden,Бобові після бобових заборонено
Ячмінь,Кукурудза,good,Рано звільняє поле
Ячмінь,Соняшник,good,Добрий попередник
Ячмінь,Пшениця озима,caution,Зернові після зернових
Ячмінь,Соя,good,Допустимо
Ячмінь,Ячмінь,forbidden,Не повторювати зернові
Ячмінь,Ріпак озимий,good,Ідеальний попередник
Ячмінь,Цукрові буряки,good,Класична ротація
Ячмінь,Горох,good,Допустимо
Ріпак озимий,Кукурудза,good,Ріпак — відмінний попередник
Ріпак озимий,Соняшник,caution,Sclerotinia
Ріпак озимий,Пшениця озима,good,Класична ротація
Ріпак озимий,Соя,good,Допустимо
Ріпак озимий,Ячмінь,good,Допустимо
Ріпак озимий,Ріпак озимий,forbidden,Мінімум 4 роки ротації
Ріпак озимий,Цукрові буряки,forbidden,Спільні патогени
Ріпак озимий,Горох,good,Допустимо
Цукрові буряки,Кукурудза,good,Допустимо
Цукрові буряки,Соняшник,forbidden,Спільні патогени
Цукрові буряки,Пшениця озима,good,Класична ротація
Цукрові буряки,Соя,caution,Нематоди
Цукрові буряки,Ячмінь,good,Допустимо
Цукрові буряки,Ріпак озимий,forbidden,"Спільні патогени, нематоди"
Цукрові буряки,Цукрові буряки,forbidden,Мінімум 4 роки ротації
Цукрові буряки,Горох,good,Допустимо
Горох,Кукурудза,good,Відмінний попередник + N-кредит 50 кг
Горох,Соняшник,good,Допустимо
Горох,Пшениця озима,good,"Рано звільняє, N-кредит"
Горох,Соя,forbidden,Бобові після бобових
Горох,Ячмінь,good,Допустимо
Горох,Ріпак озимий,good,Рано звільняє поле
Горох,Цукрові буряки,good,Допустимо
Горох,Горох,forbidden,Aphanomyces — мінімум 4 роки
